2022-03-14 19:06:48 status unpacked liblsan0:amd64 10.2.1-6
2022-03-14 19:06:48 install libtsan0:amd64 <none> 10.2.1-6
2022-03-14 19:06:48 status half-installed libtsan0:amd64 10.2.1-6
2022-03-14 19:06:49 status unpacked libtsan0:amd64 10.2.1-6
2022-03-14 19:06:49 install libubsan1:amd64 <none> 10.2.1-6
2022-03-14 19:06:49 status half-installed libubsan1:amd64 10.2.1-6
2022-03-14 19:06:49 status unpacked libubsan1:amd64 10.2.1-6
2022-03-14 19:06:49 install libquadmath0:amd64 <none> 10.2.1-6
2022-03-14 19:06:49 status half-installed libquadmath0:amd64 10.2.1-6
2022-03-14 19:06:49 status unpacked libquadmath0:amd64 10.2.1-6
2022-03-14 19:06:49 install libgcc-10-dev:amd64 <none> 10.2.1-6
2022-03-14 19:06:49 status half-installed libgcc-10-dev:amd64 10.2.1-6
2022-03-14 19:06:49 status unpacked libgcc-10-dev:amd64 10.2.1-6
2022-03-14 19:06:49 install gcc-10:amd64 <none> 10.2.1-6
2022-03-14 19:06:49 status half-installed gcc-10:amd64 10.2.1-6
2022-03-14 19:06:50 status unpacked gcc-10:amd64 10.2.1-6
2022-03-14 19:06:50 install gcc:amd64 <none> 4:10.2.1-1
2022-03-14 19:06:50 status half-installed gcc:amd64 4:10.2.1-1
2022-03-14 19:06:50 status unpacked gcc:amd64 4:10.2.1-1
2022-03-14 19:06:51 install gnupg-l10n:all <none> 2.2.27-2
2022-03-14 19:06:51 status half-installed gnupg-l10n:all 2.2.27-2
2022-03-14 19:06:51 status unpacked gnupg-l10n:all 2.2.27-2
2022-03-14 19:06:51 install gnupg-utils:amd64 <none> 2.2.27-2
2022-03-14 19:06:51 status half-installed gnupg-utils:amd64 2.2.27-2
2022-03-14 19:06:51 status unpacked gnupg-utils:amd64 2.2.27-2
2022-03-14 19:06:51 install gpg:amd64 <none> 2.2.27-2
2022-03-14 19:06:51 status half-installed gpg:amd64 2.2.27-2
2022-03-14 19:06:51 status unpacked gpg:amd64 2.2.27-2
2022-03-14 19:06:51 install pinentry-curses:amd64 <none> 1.1.0-4
2022-03-14 19:06:51 status half-installed pinentry-curses:amd64 1.1.0-4
2022-03-14 19:06:51 status unpacked pinentry-curses:amd64 1.1.0-4
2022-03-14 19:06:51 install gpg-agent:amd64 <none> 2.2.27-2
2022-03-14 19:06:51 status half-installed gpg-agent:amd64 2.2.27-2
2022-03-14 19:06:51 status unpacked gpg-agent:amd64 2.2.27-2
2022-03-14 19:06:51 install gpg-wks-client:amd64 <none> 2.2.27-2
2022-03-14 19:06:51 status half-installed gpg-wks-client:amd64 2.2.27-2
2022-03-14 19:06:51 status unpacked gpg-wks-client:amd64 2.2.27-2
2022-03-14 19:06:51 install gpg-wks-server:amd64 <none> 2.2.27-2
2022-03-14 19:06:51 status half-installed gpg-wks-server:amd64 2.2.27-2
2022-03-14 19:06:51 status unpacked gpg-wks-server:amd64 2.2.27-2
2022-03-14 19:06:51 install gpgsm:amd64 <none> 2.2.27-2
2022-03-14 19:06:51 status half-installed gpgsm:amd64 2.2.27-2
2022-03-14 19:06:51 status unpacked gpgsm:amd64 2.2.27-2
